food_name,dietary_fiber
籼米,5.90g
籼米粥,0.70g
樱桃番茄[小西红柿],1.80g
甜椒[灯笼椒、柿子椒],1.30g
彩椒,3.30g
秋葵[黄秋葵、羊角豆],4.40g
飞碟瓜,2.50g
秋黄瓜[旱黄瓜],0.90g
南瓜(栗面),2.70g
奶白菜,2.30g
鸡毛菜,2.10g
娃娃菜,2.30g
乌塌菜[塌菜、塌棵菜],2.60g
结球甘蓝(紫),3.00g
抱子甘蓝,6.60g
羽衣甘蓝,3.70g
盖菜,2.00g
番杏[新西兰菠菜、夏菠菜],2.60g
樱桃萝卜缨,2.70g
白凤菜,3.20g
紫背天葵[红风菜、血皮菜],2.60g
结球菊苣,2.70g
软化白菊苣,1.70g
鱼腥草(叶)[蕺菜、臭菜],9.60g
鱼腥草(根),11.80g
茶树菇(干)[柱状田头菇、油茶菇],15.40g
黄伞菇(干)[多脂鳞伞、黄丝菌],28.10g
鸡腿菇(干)[毛头鬼伞],18.80g
鸡枞(干),23.30g
牛肝菌(白、干)[美味牛肝菌],21.50g
乳牛肝菌(干)[粘盖牛肝菌、松树菌],43.00g
裙带菜(干)[海芥菜、海木耳],40.60g
蛇果,1.60g
布朗,1.40g
西梅,1.50g
冬枣,3.80g
红提子葡萄,0.90g
无花果(干),13.30g
葡萄柚(台湾)[西柚],1.20g
葡萄柚(以色列)[西柚],1.80g
红毛丹,1.50g
火龙果[仙蜜果、红龙果],2.00g
榴莲,1.70g
开心果(熟),8.20g
牛乳(光明牌),0.00g
牛乳(乐百氏牌),0.00g
牛乳(帕玛拉特牌),0.00g
牛乳(三元牌),0.00g
牛乳(完达山牌),0.00g
牛乳(龙丹牌),0.00g
牛乳(蒙牛牌),0.00g
牛乳(新南洋牌),0.00g
牛乳(帕玛拉特),0.00g
牛乳(伊利牌),0.00g
牛乳(部分脱脂，帕玛拉特),0.00g
牛乳(脱脂，帕玛拉特),0.00g
牛乳(强化锌、钙，帕玛拉特),0.00g
牛奶(草莓味，卡夫牌),0.00g
牛奶(巧克力味，卡夫牌),0.00g
牛奶(巧克力味，三元牌),0.00g
学生奶,0.00g
儿童奶粉(适体健，美赞臣),2.50g
酸奶(果粒),0.10g
奶酪(光明牌),0.00g
奶酪(骑士牌),0.00g
低脂奶酪,0.00g
硬质干酪,0.00g
全脂甜炼乳(雀巢),0.00g
全脂甜炼乳(燕山牌),0.00g
脱脂甜炼乳,0.00g
荷包蛋(油煎),0.00g
荷包蛋(煮),0.00g
海鸭蛋,0.00g
咸鸭蛋(煮),0.00g
鹅蛋(煮),0.00g
金枪鱼(盐水浸),0.00g
