"id","title","father_id","cate_id","is_subcategory","parent_category_id"
"1","谷类及制品","1","0","0",
"2","小麦","1","30","1","1"
"3","稻米","1","31","1","1"
"4","玉米","1","32","1","1"
"5","大麦","1","33","1","1"
"6","小米、黄米","1","34","1","1"
"7","其它","1","35","1","1"
"8","薯类、淀粉及制品","10","0","0",
"9","薯类","10","36","1","8"
"10","淀粉类","10","37","1","8"
"11","干豆类及制品","11","0","0",
"12","大豆","11","39","1","11"
"13","绿豆","11","40","1","11"
"14","赤豆","11","41","1","11"
"15","芸豆","11","42","1","11"
"16","蚕豆","11","43","1","11"
"17","其它","11","44","1","11"
"18","蔬菜类及制品","12","0","0",
"19","根菜类","12","45","1","18"
"20","鲜豆类","12","46","1","18"
"21","茄果、瓜菜类","12","47","1","18"
"22","葱蒜类","12","48","1","18"
"23","嫩茎、叶、花菜类","12","49","1","18"
"24","水生蔬菜类","12","50","1","18"
"25","薯芋类","12","51","1","18"
"26","野生蔬菜类","12","52","1","18"
"27","菌藻类","13","0","0",
"28","菌类","13","53","1","27"
"29","藻类","13","54","1","27"
"30","水果类及制品","14","0","0",
"31","仁果类","14","55","1","30"
"32","核果类","14","56","1","30"
"33","浆果类","14","57","1","30"
"34","柑橘类","14","58","1","30"
"35","热带、亚热带水果","14","59","1","30"
"36","瓜果类","14","60","1","30"
"37","坚果、种子类","15","0","0",
"38","树坚果","15","61","1","37"
"39","种子","15","62","1","37"
"40","畜肉类及制品","16","0","0",
"41","猪","16","63","1","40"
"42","牛","16","64","1","40"
"43","羊","16","65","1","40"
"44","驴","16","66","1","40"
"45","马","16","67","1","40"
"46","其它","16","68","1","40"
"47","禽肉类及制品","17","0","0",
"48","鸡","17","69","1","47"
"49","鸭","17","70","1","47"
"50","鹅","17","71","1","47"
"51","火鸡","17","72","1","47"
"52","其它","17","73","1","47"
"53","乳类及制品","18","0","0",
"54","液态乳","18","74","1","53"
"55","奶粉","18","75","1","53"
"56","酸奶","18","76","1","53"
"57","奶酪","18","77","1","53"
"58","奶油","18","78","1","53"
"59","其它","18","79","1","53"
"60","蛋类及制品","19","0","0",
"61","鸡蛋","19","80","1","60"
"62","鸭蛋","19","81","1","60"
"63","鹅蛋","19","82","1","60"
"64","鹌鹑蛋","19","83","1","60"
"65","鱼虾蟹贝类","20","0","0",
"66","鱼","20","84","1","65"
"67","虾","20","85","1","65"
"68","蟹","20","86","1","65"
"69","贝","20","87","1","65"
"70","其它","20","88","1","65"
"71","婴幼儿食品","21","0","0",
"72","婴幼儿配方粉","21","89","1","71"
"73","婴幼儿断奶期辅助食品","21","90","1","71"
"74","婴幼儿补充食品","21","91","1","71"
"75","小吃、甜饼","22","0","0",
"76","小吃","22","92","1","75"
"77","蛋糕、甜点","22","93","1","75"
"78","速食食品","23","0","0",
"79","快餐食品","23","125","1","78"
"80","方便食品","23","126","1","78"
"81","休闲食品","23","127","1","78"
"82","饮料类","24","0","0",
"83","碳酸饮料","24","100","1","82"
"84","果汁及其饮料","24","101","1","82"
"85","蔬菜汁饮料","24","102","1","82"
"86","含乳饮料","24","103","1","82"
"87","植物蛋白饮料","24","104","1","82"
"88","茶叶及茶饮料","24","105","1","82"
"89","固体饮料","24","106","1","82"
"90","棒冰、冰淇凌","24","107","1","82"
"91","其它","24","108","1","82"
"92","含酒精饮料","25","0","0",
"93","发酵酒","25","109","1","92"
"94","蒸馏酒","25","110","1","92"
"95","露酒（配制酒）","25","111","1","92"
"96","糖、果脯和蜜饯、蜂蜜","26","0","0",
"97","糖","26","112","1","96"
"98","糖果","26","113","1","96"
"99","果脯和蜜饯","26","114","1","96"
"100","蜂蜜","26","128","1","96"
"101","油脂类","27","0","0",
"102","动物油脂","27","115","1","101"
"103","植物油","27","116","1","101"
"104","调味品类","28","0","0",
"105","酱油","28","117","1","104"
"106","醋","28","118","1","104"
"107","酱","28","119","1","104"
"108","腐乳","28","120","1","104"
"109","咸菜类","28","121","1","104"
"110","辛香料","28","122","1","104"
"111","盐、味精及其它","28","123","1","104"
