mufa,pufa,fat,vitamin_a,zinc,id,edible_part,carotene,vitamin_c,magnesium,selenium,iodine,thiamin,fatty_acids_total,potassium,dietary_fiber,alias_name,energy,niacin,calcium,cate_id,protein,riboflavin,sodium,copper,water,carbohydrate,vitamin_e,phosphorus,iron,food_name,english_name,cholesterol,ash,retinol,manganese,sfa
"""24.1%""","""44.8%""","""2g""","""0μg""","""2mg""","""259""","""100%""","""1μg""","""0mg""","""50mg""","""5.40μg""","""""","""0.28mg""","""99.2%""","""190mg""","""2g""","""""","""1497kJ""","""2.00mg""","""31mg""","""30""","""11.2g""","""0.08mg""","""3.1mg""","""0.42mg""","""12.7g""","""73.6g""","""2mg""","""188mg""","""4mg""","""小麦粉(标准粉)""","""""","""0mg""","""1.0g""","""13μg""","""2mg""","""30.3%"""
"""24.1%""","""44.8%""","""1.1g""","""0μg""","""1mg""","""260""","""100%""","""1μg""","""0mg""","""32mg""","""7μg""","""""","""0.17mg""","""99.2%""","""128mg""","""1g""","""""","""1494kJ""","""2.00mg""","""27mg""","""30""","""10.3g""","""0.06mg""","""3mg""","""0.26mg""","""12.7g""","""75.2g""","""1mg""","""114mg""","""3mg""","""小麦粉(富强粉，特一粉)""","""""","""0mg""","""0.7g""","""13μg""","""1mg""","""30.3%"""
"""—""","""—""","""1g""","""0μg""","""1mg""","""261""","""100%""","""1μg""","""0mg""","""49mg""","""12μg""","""""","""0.19mg""","""—""","""129mg""","""1g""","""""","""1483kJ""","""2.50mg""","""17mg""","""30""","""10.3g""","""0.04mg""","""184.5mg""","""0.39mg""","""12.3g""","""75.6g""","""1mg""","""134mg""","""3.0mg""","""挂面(均值)""","""""","""0mg""","""1.2g""","""12μg""","""1mg""","""—"""
"""24.1%""","""44.8%""","""1g""","""0μg""","""1.22mg""","""262""","""100%""","""1μg""","""0mg""","""51mg""","""10μg""","""""","""0.19mg""","""99.2%""","""157mg""","""2g""","""""","""1490kJ""","""2.50mg""","""14mg""","""30""","""10.1g""","""0.04mg""","""150.0mg""","""0.44mg""","""12.4g""","""76.0g""","""1mg""","""153mg""","""4mg""","""挂面(标准粉)""","""""","""0mg""","""0.8g""","""12μg""","""1.28mg""","""30.3%"""
"""24.1%""","""44.8%""","""1g""","""0μg""","""1mg""","""263""","""100%""","""1μg""","""0mg""","""48mg""","""11.10μg""","""""","""0.20mg""","""99.2%""","""122mg""","""0g""","""""","""1477kJ""","""2.40mg""","""21mg""","""30""","""10g""","""0.04mg""","""111mg""","""0.40mg""","""12.7g""","""76.0g""","""1mg""","""112mg""","""3.2mg""","""挂面(富强粉)""","""""","""0mg""","""1.1g""","""13μg""","""1mg""","""30.3%"""
"""—""","""—""","""1g""","""0μg""","""1.43mg""","""264""","""100%""","""1μg""","""0mg""","""39mg""","""12μg""","""""","""0.22mg""","""—""","""135mg""","""1g""","""""","""1219kJ""","""1.40mg""","""11mg""","""30""","""8.3g""","""0.07mg""","""28.0mg""","""0.17mg""","""28.5g""","""61.9g""","""1mg""","""162mg""","""4mg""","""面条(均值)""","""""","""0mg""","""0.6g""","""28μg""","""1mg""","""—"""
"""—""","""—""","""2g""","""0μg""","""1.07mg""","""265""","""100%""","""1μg""","""0mg""","""61mg""","""0.40μg""","""""","""0.35mg""","""—""","""161mg""","""2g""","""""","""1215kJ""","""3.10mg""","""13mg""","""30""","""8.5g""","""0.10mg""","""3.4mg""","""0.20mg""","""29.7g""","""59.5g""","""0mg""","""142mg""","""3mg""","""面条(标准粉，切面)""","""""","""0mg""","""0.7g""","""30μg""","""1.35mg""","""—"""
"""—""","""—""","""1.1g""","""0μg""","""1mg""","""266""","""100%""","""0μg""","""0mg""","""29mg""","""17.30μg""","""""","""0.18mg""","""—""","""102mg""","""0g""","""""","""1217kJ""","""2.20mg""","""24mg""","""30""","""9.3g""","""0.04mg""","""2mg""","""0.14mg""","""29.2g""","""60g""","""0mg""","""92mg""","""2.0mg""","""面条(富强粉，切面)""","""""","""0mg""","""0.5g""","""29μg""","""1mg""","""—"""
"""—""","""—""","""0.1g""","""0μg""","""2mg""","""267""","""100%""","""1μg""","""0mg""","""42mg""","""8μg""","""""","""0.28mg""","""—""","""100mg""","""0g""","""""","""1512kJ""","""3mg""","""8mg""","""30""","""11.0g""","""0.05mg""","""61mg""","""0.22mg""","""10.5g""","""78g""","""0mg""","""142mg""","""10mg""","""面条(干切面)""","""""","""0mg""","""0.7g""","""10μg""","""1mg""","""—"""
"""—""","""—""","""0.1g""","""0μg""","""2mg""","""268""","""100%""","""0μg""","""0mg""","""58mg""","""6μg""","""""","""0.12mg""","""—""","""209mg""","""0g""","""""","""1495kJ""","""1.00mg""","""14mg""","""30""","""12g""","""0.03mg""","""35.0mg""","""0.16mg""","""11.8g""","""75.8g""","""0mg""","""97mg""","""3mg""","""通心面[通心粉]""","""""","""0mg""","""0.4g""","""12μg""","""1mg""","""—"""
