id,cate_id,food_name,alias_name,english_name,edible_part,water,energy,protein,fat,cholesterol,ash,carbohydrate,dietary_fiber,carotene,shihuangchun,vitamin_a,vitamin_e,thiamin,riboflavin,niacin,vitamin_c,calcium,phosphorus,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,iodine,sfa,mufa,pufa,fatty_acids_total
1,,小麦,,,,,1326kJ,12g,1g,0mg,,64g,11g,2μg,10μg,0μg,2mg,0mg,0mg,4mg,0mg,34mg,325mg,289mg,7mg,4mg,5mg,2mg,4μg,0mg,3mg,,,,,
2,,五谷香,,,,,1577kJ,10g,3g,0mg,,78g,0g,3μg,6μg,0μg,2mg,0mg,0mg,0mg,0mg,2mg,13mg,7mg,1mg,0mg,0mg,0mg,1μg,0mg,0mg,,,,,
3,,小麦粉(标准粉),,,,,1439kJ,11g,2g,0mg,,72g,2g,1μg,13μg,0μg,2mg,0mg,0mg,2mg,0mg,31mg,188mg,190mg,3mg,50mg,4mg,2mg,5μg,0mg,2mg,,,,,
4,,小麦粉(富强粉，特一粉),,,,,1464kJ,10g,1g,0mg,,75g,1g,1μg,13μg,0μg,1mg,0mg,0mg,2mg,0mg,27mg,114mg,128mg,3mg,32mg,3mg,1mg,7μg,0mg,1mg,,,,,
5,,小麦粉(特二粉),,,,,1460kJ,10g,1g,0mg,,74g,2g,1μg,12μg,0μg,1mg,0mg,0mg,2mg,0mg,30mg,120mg,124mg,2mg,48mg,3mg,1mg,6μg,1mg,1mg,,,,,
6,,小麦胚粉,,,,,1640kJ,36g,10g,0mg,,39g,6g,5μg,4μg,0μg,23mg,4mg,1mg,4mg,0mg,85mg,1168mg,1523mg,5mg,198mg,1mg,23mg,65μg,1mg,17mg,,,,,
7,,麸皮,,,,,920kJ,16g,4g,0mg,,30g,31g,4μg,14μg,20μg,4mg,0mg,0mg,12mg,0mg,206mg,682mg,862mg,12mg,382mg,10mg,6mg,7μg,2mg,11mg,,,,,
8,,挂面(均值),,,,,1448kJ,10g,1g,0mg,,75g,1g,1μg,12μg,0μg,1mg,0mg,0mg,2mg,0mg,17mg,134mg,129mg,184mg,49mg,3mg,1mg,12μg,0mg,1mg,,,,,
9,,挂面(标准粉),,,,,1439kJ,10g,1g,0mg,,74g,2g,1μg,12μg,0μg,1mg,0mg,0mg,2mg,0mg,14mg,153mg,157mg,150mg,51mg,4mg,1mg,10μg,0mg,1mg,,,,,
10,,挂面(富强粉),,,,,1452kJ,10g,1g,0mg,,76g,0g,1μg,13μg,0μg,1mg,0mg,0mg,2mg,0mg,21mg,112mg,122mg,111mg,48mg,3mg,1mg,11μg,0mg,1mg,,,,,
